feature_set,classifier,precision,recall,f1_score,accuracy
bag_of_words,multinomial_nb,0.6607395889655369,0.6411506150757784,0.6438441506749296,0.7976903336184773
bag_of_words,xgb,0.7424430262446066,0.6458782998812872,0.6495154640549461,0.8122326775021386
bag_of_words,decision_tree,0.5579153751762319,0.5260026364165876,0.5077980589367398,0.6852010265183918
bag_of_words,random_forest,0.7890027469036536,0.6054178678007275,0.5755155142509908,0.8045337895637297
bag_of_words,svm,0.7055055738433795,0.6126590280354468,0.582655648684771,0.8083832335329342
bag_of_words,perceptron,0.6650907836585246,0.6568539960104908,0.6598964781766355,0.7925577416595381
bag_of_words,logistic_regression,0.693669262406417,0.6672158320304531,0.6728720165751235,0.8147989734816082
one_hot,multinomial_nb,0.6507525365275978,0.6279279393560758,0.6231323177660472,0.8023952095808383
one_hot,xgb,0.7326891283998725,0.6432837445995215,0.6455090119939276,0.8109495295124037
one_hot,decision_tree,0.5865293842067044,0.5300573690169252,0.5156136828865239,0.6856287425149701
one_hot,random_forest,0.7876038720365218,0.6041043107631126,0.5741805406297308,0.8028229255774166
one_hot,svm,0.7473158665482992,0.6241390683322392,0.5995125447544289,0.8195038494439693
one_hot,perceptron,0.67824178575302,0.6641708448689773,0.6691116277734723,0.7989734816082121
one_hot,logistic_regression,0.7209481702255834,0.6839123618761899,0.6930119946673138,0.823781009409752
n_grams,multinomial_nb,0.6951673512769866,0.7129529028595712,0.69730854722543,0.7844311377245509
n_grams,xgb,0.732488115280038,0.6473113096351829,0.6509575759364077,0.8126603934987169
n_grams,decision_tree,0.5763812576312576,0.530030201452249,0.5147333884385109,0.6869118905047049
n_grams,random_forest,0.7887789079315759,0.6072851357479695,0.5764813327729396,0.8062446535500428
n_grams,svm,0.7775946441473648,0.6142494405278753,0.583859953812078,0.8100940975192472
n_grams,perceptron,0.7003481495293146,0.6846073018379862,0.6899491740195586,0.8147989734816082
n_grams,logistic_regression,0.711507080293456,0.6765573515747145,0.6837203309289607,0.8242087254063302
tf_idf,multinomial_nb,0.5447854105522766,0.5905827918319712,0.5622180475094294,0.7946963216424294
tf_idf,xgb,0.7401572460207285,0.6488583808765714,0.6511038845043191,0.8143712574850299
tf_idf,decision_tree,0.6001096491228071,0.5416411111851084,0.5240468616156232,0.693327630453379
tf_idf,random_forest,0.7876398727344341,0.6033552470927006,0.5737611471561895,0.80196749358426
tf_idf,svm,0.7995362789734775,0.638713039691072,0.6229510570972975,0.8314798973481609
tf_idf,perceptron,0.6917316209447462,0.6512140307257757,0.6511585127817324,0.8182207014542344
tf_idf,logistic_regression,0.7281494463070203,0.6383928429852185,0.6243973508570634,0.8284858853721129
word2vec,xgb,0.6123135529255402,0.5330036226943248,0.5068112574813474,0.7151411462788708
word2vec,decision_tree,0.43115454422307486,0.42092283037397155,0.41073368792337295,0.5560307955517536
word2vec,random_forest,0.6712239528372237,0.48692003327762395,0.4644980561949342,0.6612489307100086
word2vec,svm,0.8395158767045472,0.5682962977057678,0.5370498860368055,0.7583404619332763
word2vec,perceptron,0.5789757449921015,0.5720155055968354,0.5736911523441502,0.7018819503849444
word2vec,logistic_regression,0.5988310451011416,0.5882180508910856,0.5901855088116977,0.7177074422583405
combined_bow_negation,multinomial_nb,0.6644843814772554,0.64674681626798,0.6487211345654349,0.8058169375534645
combined_bow_negation,xgb,0.7165861931710018,0.6402982723754495,0.6382715538449512,0.8143712574850299
combined_bow_negation,decision_tree,0.6127407491035405,0.5834351852732772,0.5750088549433113,0.7523524379811805
combined_bow_negation,random_forest,0.7907107868311568,0.60850640763398,0.5780033481948696,0.8079555175363559
combined_bow_negation,svm,0.6584497002094669,0.608278496079731,0.5806798828660429,0.804961505560308
combined_bow_negation,perceptron,0.6687085114466168,0.6701094419443941,0.6691839116588786,0.7865697177074422
combined_bow_negation,logistic_regression,0.6988522882562617,0.6745598484536158,0.6803958364670623,0.8199315654405475
