city,connection,algo,precision,recall,f1,avg_precision,avg rmse,avg mae,sparsity,communities initially,communities finally
Springfield,categories,NormalPredictor,0.7235668789808917,0.8365243004418262,0.7759562841530054,0.4644096842412309,1.944147578996078,1.597071971808478,0.9854774082157866,37,37
Springfield,categories,KNNBasic user_based,0.7194570135746606,0.9366715758468336,0.8138195777351249,0.5095857945015678,1.5447558398243648,1.345725597230848,0.9854774082157866,37,37
Springfield,categories,KNNBasic item_based,0.7309007981755986,0.9440353460972017,0.8239074550128535,0.49963173630861224,1.5524968647154938,1.3459167706108934,0.9854774082157866,37,37
Springfield,categories,SVD,0.7193169690501601,0.9926362297496318,0.8341584158415841,0.5363851819441405,1.4912959456663677,1.2971696816842275,0.9854774082157866,37,37
Springfield,business_reviews,NormalPredictor,0.7119496855345911,0.833578792341679,0.76797829036635,0.4487894698461314,1.9480923333450275,1.6482782534970233,0.9840330427905857,397,40
Springfield,business_reviews,KNNBasic user_based,0.7179203539823009,0.9558173784977909,0.8199620972836387,0.520305549478597,1.51178385989491,1.3332616957855126,0.9840330427905857,397,40
Springfield,business_reviews,KNNBasic item_based,0.7179775280898877,0.9410898379970545,0.8145315487571702,0.5026945234449063,1.4988041605443845,1.3177685730377187,0.9840330427905857,397,40
Springfield,business_reviews,SVD,0.7182203389830508,0.9985272459499264,0.8354898336414047,0.5425107562167286,1.4132450057695953,1.253306284688627,0.9840330427905857,397,40
Springfield,business_tips,NormalPredictor,0.7803030303030303,0.9155555555555556,0.8425357873210633,0.45585625554569653,1.452588865933052,1.1986216695128804,0.9537933817594835,6909,21
Springfield,business_tips,KNNBasic user_based,0.7689655172413793,0.9911111111111112,0.8660194174757282,0.5055456965394853,1.208301686286127,1.0209549665855138,0.9537933817594835,6909,21
Springfield,business_tips,KNNBasic item_based,0.7684210526315789,0.9733333333333334,0.8588235294117647,0.48691215616681455,1.2190315289460678,1.024241627501251,0.9537933817594835,6909,21
Springfield,business_tips,SVD,0.7679180887372014,1.0,0.8687258687258687,0.5055456965394853,1.1632376307041428,0.9839092285210032,0.9537933817594835,6909,21
Springfield,categories_and_reviews,NormalPredictor,0.7214554579673776,0.8468335787923417,0.7791327913279132,0.4429701742871728,1.8722280425944444,1.5466521504904969,0.9847653494742713,38,38
Springfield,categories_and_reviews,KNNBasic user_based,0.7190265486725663,0.9572901325478645,0.8212255211623499,0.5241340333989645,1.5294898125591763,1.3450535844363647,0.9847653494742713,38,38
Springfield,categories_and_reviews,KNNBasic item_based,0.7216610549943884,0.946980854197349,0.8191082802547771,0.5049916137971268,1.5288435404810652,1.3352488737362846,0.9847653494742713,38,38
Springfield,categories_and_reviews,SVD,0.7177589852008457,1.0,0.8356923076923077,0.5440421497848756,1.4562901391646217,1.281741378663006,0.9847653494742713,38,38
Springfield,combined,NormalPredictor,0.7254150702426565,0.8365243004418262,0.7770177838577291,0.4471815065995771,1.8980029747252254,1.5889982866412975,0.98513492605476,33,33
Springfield,combined,KNNBasic user_based,0.717607973421927,0.9543446244477173,0.8192161820480406,0.5226026398308176,1.5310616235636934,1.3453542276482406,0.98513492605476,33,33
Springfield,combined,KNNBasic item_based,0.7184357541899441,0.946980854197349,0.8170266836086405,0.5049916137971269,1.5483252208982727,1.3457186435857103,0.98513492605476,33,33
Springfield,combined,SVD,0.7185185185185186,1.0,0.8362068965517242,0.5440421497848756,1.4510042412934139,1.274365478982073,0.98513492605476,33,33
Springfield,friendships,NormalPredictor,0.7649402390438247,0.8668171557562077,0.8126984126984127,0.4495951694798957,1.5501034547183405,1.357566483241574,0.9864199117508461,5658,47
Springfield,friendships,KNNBasic user_based,0.7584973166368515,0.9571106094808126,0.8463073852295409,0.5165980513242762,1.3037762115115499,1.196588473539629,0.9864199117508461,5658,47
Springfield,friendships,KNNBasic item_based,0.7680140597539543,0.9864559819413092,0.8636363636363635,0.5108343625634691,1.2995450735538867,1.1924681774169719,0.9864199117508461,5658,47
Springfield,friendships,SVD,0.7651122625215889,1.0,0.8669275929549902,0.5252435844654865,1.288673840028684,1.1829745676910994,0.9864199117508461,5658,47
Springfield,priority_combined,NormalPredictor,0.7183462532299741,0.8424242424242424,0.7754532775453277,0.43917646172393005,1.7321759376528014,1.455734383682895,0.9872517544075571,291,88
Springfield,priority_combined,KNNBasic user_based,0.719441210710128,0.9363636363636364,0.8136932192231732,0.5193979807112719,1.4199866400242016,1.26419172588437,0.9872517544075571,291,88
Springfield,priority_combined,KNNBasic item_based,0.7300115874855156,0.9545454545454546,0.8273145108338805,0.5170245629897529,1.4172065281179305,1.2621544623742573,0.9872517544075571,291,88
Springfield,priority_combined,SVD,0.7233809001097695,0.9984848484848485,0.8389560789306175,0.546296714888487,1.367990208860209,1.2228457161637407,0.9872517544075571,291,88
Springfield,threshold_categories,NormalPredictor,0.7321428571428571,0.845360824742268,0.7846889952153109,0.45491504411871947,1.701863284573043,1.3797671682482817,0.9847243600199015,37,37
Springfield,threshold_categories,KNNBasic user_based,0.7149220489977728,0.9455081001472754,0.8142041851616995,0.5195398526945235,1.4833435381912523,1.3063391300767526,0.9847243600199015,37,37
Springfield,threshold_categories,KNNBasic item_based,0.7228506787330317,0.9410898379970545,0.817658349328215,0.5042259170130533,1.5022586642320868,1.3075659873032273,0.9847243600199015,37,37
Springfield,threshold_categories,SVD,0.7192796610169492,1.0,0.8367221195317314,0.5440421497848756,1.4118599843918467,1.2440035538072203,0.9847243600199015,37,37
